Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.95078125,-4.12376287215,15,13482,32,1572,15851
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.95078125,-264.198158901,200,12280,1251,1385,15866
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.95078125,0.638908670438,5,3024,1,398,4032
pphtm,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.95078125,-52.4624002796,45,962,256,118,1624
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.95078125,-26.1102972435,38,3418,129,436,4730
pphtm,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.95078125,-6.15172317879,14,892,39,112,1243
pphtm,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.95078125,-17.0592592551,19,2938,88,383,4032
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.95078125,-11.8941801335,12,2965,60,391,4032
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.95078125,-130.061768378,16,2411,614,387,4032
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.95078125,-60.3125883663,67,2733,292,336,4032
pphtm,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.95078125,-12.0179112887,24,2964,61,379,4032
pphtm,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.95078125,-2.0,0,3026,0,402,4032
pphtm,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.95078125,-290.4,0,2108,1320,0,4032
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.95078125,-113.59500118,57,2477,549,345,4032
pphtm,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.95078125,-2.64,0,3416,12,0,4032
pphtm,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.95078125,-165.756354339,131,4988,803,595,7267
pphtm,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.95078125,-310.000023343,158,18220,1457,2110,22695
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.95078125,-174.144461646,159,12682,838,1429,15858
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.95078125,0.777467381263,14,13568,9,1512,15853
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.95078125,-260.486500026,172,12319,1234,1418,15893
pphtm,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.95078125,0.633072588811,12,1145,10,141,1538
pphtm,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.95078125,-0.411925331606,5,1219,13,160,1643
pphtm,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.95078125,-9.6862705733,41,13495,69,1547,15902
pphtm,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.95078125,-1.82605765894,7,3009,17,395,4032
pphtm,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.95078125,-7.52628415151,11,3033,49,335,4032
pphtm,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.95078125,-36.6869830958,33,2850,176,369,4032
pphtm,reward_low_FP_rate,realTraffic/speed_7578.csv,0.95078125,-11.1032600271,22,772,70,94,1127
pphtm,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.95078125,-110.563485704,56,1261,523,183,2380
pphtm,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.95078125,-10.3199340251,17,1815,56,233,2495
